SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532540,TCS LTD.    ,A ,Q,3230.00,3230.00,3074.55,3105.00,3105.00,3241.45,21983,247729,771803291.00,
532541,COFORGE     ,A ,Q,3120.00,3147.00,2820.00,2889.25,2889.25,3115.75,4847,46301,134625664.00,
532543,GULFPETRO   ,B ,Q,36.00,36.95,35.70,36.30,36.80,35.45,116,6055,220108.00,
532548,CENTURYPLY  ,A ,Q,309.90,309.90,290.20,303.50,304.30,290.00,360,7580,2286849.00,
532553,WELENT      ,A ,Q,106.35,107.40,104.40,106.10,106.55,104.55,152,4411,467708.00,
532555,NTPC LTD    ,A ,Q,99.75,101.10,99.25,100.45,100.45,98.95,1675,414714,41573629.00,
532604,SALSTEEL    ,B ,Q,4.14,4.40,4.01,4.40,4.40,4.00,79,155262,679879.00,
532605,JBM AUTO    ,B ,Q,362.20,386.35,362.20,382.25,384.05,379.80,317,2828,1076557.00,
532610,DWAR SUGAR  ,A ,Q,30.85,32.05,30.60,31.75,31.75,30.65,176,44376,1395391.00,
532612,INDOCO REM  ,A ,Q,307.25,307.25,296.95,299.40,297.40,304.90,133,1065,320928.00,
532613,VIPCLOTHNG  ,T ,Q,13.00,13.01,12.55,13.00,13.00,12.96,14,2191,28435.00,
532616,XCHANGING   ,B ,Q,63.85,65.00,63.60,64.95,65.00,63.45,77,4929,316214.00,
532617,JETAIRWAYS  ,Z ,Q,88.25,92.60,88.25,89.45,89.45,92.85,1026,53207,4753015.00,
532621,MORARJETEX  ,B ,Q,14.92,16.17,14.77,15.99,16.17,15.40,123,43922,685374.00,
532622,GATEWAY DIST,A ,Q,170.00,174.00,167.70,173.50,173.00,168.65,124,1294,221870.00,
532624,JINDALPH    ,T ,Q,71.65,71.65,67.25,71.10,71.10,70.75,44,1234,84415.00,
532626,PONDY OXIDES,X ,Q,212.00,217.00,207.00,209.45,210.20,209.20,103,3511,737027.00,
532627,JPPOWER     ,B ,Q,2.98,3.00,2.81,2.93,2.93,2.94,9561,4599567,13420900.00,
532628,3I INFOTECH ,B ,Q,7.48,7.75,7.33,7.38,7.38,7.62,2159,1357674,10120262.00,
532629,MCNALLYB    ,T ,Q,7.74,7.74,7.10,7.49,7.49,7.47,16,4861,34979.00,
532630,GOKALDAS    ,B ,Q,78.50,79.90,78.00,78.55,79.90,77.40,99,9104,714835.00,
532633,ALLSEC TECH ,B ,Q,316.90,344.30,316.90,325.35,317.70,299.50,209,1059,356164.00,
532636,IIFL        ,A ,Q,263.00,277.00,250.75,267.70,277.00,263.90,685,33144,8494185.00,
532637,MAN DRUGORG ,B ,Q,111.15,113.95,110.00,111.45,111.00,110.10,202,7181,800835.00,
532638,SHOPPER STOP,A ,Q,188.00,194.45,188.00,192.50,191.00,188.30,222,6513,1244694.00,
532640,CYBER MEDIA ,T ,Q,12.96,12.96,12.96,12.96,12.96,12.35,1,2,25.00,
532641,NDL         ,B ,Q,35.95,35.95,29.75,31.40,31.40,30.05,60,2823,86850.00,
